"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L505","SCM determineSCM()","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.determineSCM()Lorg/apache/hadoop/maven/plugin/versioninfo/VersionInfoMojo$SCM;","L475","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","112","3","142","4","0","0","0","0","0","0","0","0","263.093","32.3462","31977.8","1007.47","171","55","1776.55","988.612","78.1286","45.6893","68.4753","40.044","6","4","4","1","2","0.184211","7","7","0.184211","7","31","31","21","0","31","31","21","0","0","3","1","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L555","String[] getSvnUriInfo(String str)","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.getSvnUriInfo(Ljava/lang/String;)[Ljava/lang/String;","L475","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","150","3","175","4","0","0","0","0","0","0","0","0","250.702","24.5536","20111.7","739.546","143","53","1117.31","819.093","82.1862","48.0621","74.4593","43.5435","5","4","4","2","0","0.1875","6","6","0.1875","6","26","26","17","1","26","26","17","0","0","3","2","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"L512","String getSCMUri(SCM scm)","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.getSCMUri(Lorg/apache/hadoop/maven/plugin/versioninfo/VersionInfoMojo$SCM;)Ljava/lang/String;","L475","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","183","3","206","4","0.376238","1","4","1","0.416667","0.416667","10","10","179.526","22.5882","12948.9","551.427","107","41","719.383","573.258","84.6486","49.5021","79.1713","46.299","8","3","3","1","1","0.2","6","6","0.2","6","24","24","15","1","24","24","15","0","0","8","1","1","0","0","0","0","6","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L518","String getSCMCommit(SCM scm)","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.getSCMCommit(Lorg/apache/hadoop/maven/plugin/versioninfo/VersionInfoMojo$SCM;)Ljava/lang/String;","L475","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","214","3","235","4","0","0","0","0","0","0","0","0","123.164","15.2308","5734.67","320.385","76","31","318.593","376.519","88.4741","51.7392","85.5145","50.0085","7","3","3","1","0","0.214286","6","6","0.214286","6","22","22","13","1","22","22","13","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L515","String getSCMBranch(SCM scm)","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.getSCMBranch(Lorg/apache/hadoop/maven/plugin/versioninfo/VersionInfoMojo$SCM;)Ljava/lang/String;","L475","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","243","3","265","4","0.487179","1","4","1","0.434783","0.434783","10","10","139.742","17.8571","7631.19","387.61","84","34","423.955","427.347","87.0955","50.933","83.053","48.569","7","3","3","1","1","0.206897","6","6","0.206897","6","23","23","14","1","23","23","14","0","0","8","1","1","0","0","0","0","6","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L580","byte[] readFile(File file)","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.readFile(Ljava/io/File;)[B","L475","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","274","3","280","4","0","0","0","0","0","0","0","0","92.3203","20.9","4407.98","268.84","46","24","244.888","210.908","111.419","65.1572","129.601","75.7901","1","0","0","1","0","0.5","7","7","0.5","7","7","7","5","1","7","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L594","byte[] computeMD5(List<File> files)","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.computeMD5(Ljava/util/List;)[B","L475","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","291","3","298","4","0","0","0","0","0","0","0","0","119.552","21.0833","4506.59","272.834","44","29","250.366","213.751","108.956","63.717","126.854","74.1836","2","1","1","1","1","0.529412","9","9","0.529412","9","8","8","5","1","8","8","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L610","String byteArrayToString(byte[] array)","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.byteArrayToString([B)Ljava/lang/String;","L475","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","306","3","312","4","0","0","0","0","0","0","0","0","92.3203","17.1","2900.91","203.402","37","24","161.161","169.644","112.321","65.6848","129.98","76.0118","2","1","1","1","0","0.461538","6","6","0.461538","6","7","7","4","1","7","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L521","String computeMD5()","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.computeMD5()Ljava/lang/String;","L475","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","321","3","341","4","0","0","0","0","0","0","0","0","129.691","20.5714","5299.57","303.968","52","31","294.421","257.618","106.307","62.168","122.86","71.8477","1","0","0","1","3","0.526316","10","7","0.37037","10","9","12","6","0","17","21","8","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L165","ChecksumComparator(String checksumPath)","org.apache.hadoop.maven.plugin.protoc.ProtocMojo$ChecksumComparator.<init>(Ljava/lang/String;)V","L148","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\protoc\ProtocMojo.java","77","5","89","6","0","0","0","0","0","0","0","0","117.759","18.8571","5404.85","307.98","59","29","300.27","286.621","100.862","58.9837","90.8445","53.1254","2","1","1","1","0","0.0769231","1","0","0.0769231","1","12","13","6","1","12","13","6","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
